"Year","species_name","latin_name","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"1995","Gullkarfi","Sebastes norvegicus","0.16","0.75","2.85","16","4.32","1.89","4.17","6.96","6.96","1.86","0.9","0.41","1.02","1.02","0.38","0.57","1.04","0.51","0.47","0.25","0.28","0.5","0","0.15"
"1996","Gullkarfi","Sebastes norvegicus","0","0.84","1.68","6.75","16","3.35","1.96","2.21","5.27","5.84","1.33","0.39","0.25","0.43","1.01","0.62","0.81","0","0","0","0","0","0","0"
"1997","Gullkarfi","Sebastes norvegicus","0.06","0.51","0.81","1.77","4.51","17","3.97","1.76","3.64","3.81","3.24","0.86","0.55","0.76","0.42","0.48","0.55","0.46","0.6","0.23","0.1","0.12","0.1","0.31"
"1998","Gullkarfi","Sebastes norvegicus","0.07","0.68","1.21","2.28","1.98","5.13","18","2.73","2.41","2.53","3.4","1.99","0.91","0.64","0.45","0.34","0.32","0.6","0.39","0.29","0.35","0.29","0.04","0.3"
"1999","Gullkarfi","Sebastes norvegicus","0.02","0.83","3.61","2.27","3.32","3.93","3.49","22","1.64","1.46","1.88","2.64","2.22","1.15","0.4","0.2","0.28","0.23","0.57","0.22","0.45","0.22","0.09","0.58"
"2000","Gullkarfi","Sebastes norvegicus","0.12","0.2","1.87","8.46","3.4","3.67","2.45","3.07","19","2.01","1.38","1.6","2.37","2.06","0.5","0.47","0.25","0.06","0.32","0.26","0.12","0.44","0.3","0.81"
"2001","Gullkarfi","Sebastes norvegicus","0.33","0.36","0.87","3.34","14","2.98","2.99","1.82","1.07","14","0.62","0.87","1.08","1.57","0.91","0.39","0.36","0.1","0.1","0.08","0.2","0.14","0.14","0.71"
"2002","Gullkarfi","Sebastes norvegicus","0.26","2.04","1.57","1.51","5.72","18","4.59","3.55","2.33","3.61","14","2.41","1.25","0.63","1.26","0.95","0.59","0.25","0.25","0.16","0.08","0.25","0.33","0.96"
"2003","Gullkarfi","Sebastes norvegicus","0.6","0.59","2.81","2.2","2.1","6.66","16","3.5","2.72","1.59","2.69","7.9","0.94","0.43","0.57","0.79","0.79","0.36","0.27","0.07","0.06","0.03","0.09","0.57"
"2004","Gullkarfi","Sebastes norvegicus","0.69","1.88","1.03","3.96","1.46","1.6","3.21","13","2.98","2.17","1.03","1.53","5.47","1.22","0.35","0.49","0.56","0.52","0.19","0.08","0.15","0.1","0.11","0.53"
"2005","Gullkarfi","Sebastes norvegicus","0.73","1.98","4.19","3.03","5.52","3.25","2.25","4.51","17","2.72","1.82","1.44","1.46","7","0.48","0.48","0.67","0.55","0.43","0.1","0.19","0.13","0.02","1.14"
"2006","Gullkarfi","Sebastes norvegicus","0.4","2.25","4.21","6.67","3.41","4.41","2.33","1.8","3.83","13","2.42","1.28","0.74","1.01","5.39","0.49","0.22","0.39","0.42","0.11","0.2","0.17","0.15","0.72"
"2007","Gullkarfi","Sebastes norvegicus","0.35","1.07","3.49","4.43","5.62","3.02","4.4","1.43","1.28","2.72","11","1.51","0.83","0.78","0.9","4.85","0.72","0.13","0.51","0.29","0.35","0.19","0.03","0.85"
"2008","Gullkarfi","Sebastes norvegicus","0.66","2.58","4.48","9.15","6.91","7.49","3.35","3.64","2.08","1.33","2.29","9.82","1.7","0.9","0.67","0.84","4.33","0.37","0.24","0.41","0.36","0.17","0.14","0.68"
"2009","Gullkarfi","Sebastes norvegicus","0.26","2.07","3.36","5.35","7.93","6.52","4.58","2.29","2.33","1.46","0.76","1.73","6.51","0.94","0.63","0.52","0.29","2.25","0.09","0.12","0.18","0.09","0.34","0.3"
"2010","Gullkarfi","Sebastes norvegicus","0.15","0.75","4.24","4.72","4.32","6.81","5.01","3.36","1.52","1.35","0.93","0.69","1.18","4.78","0.72","0.68","0.47","0.54","1.85","0.18","0.25","0.11","0.11","0.39"
"2011","Gullkarfi","Sebastes norvegicus","0.38","1.25","3.1","7.92","8.67","6.75","7.87","4.24","2.73","1.39","0.97","0.59","0.64","0.86","4.22","0.73","0.56","0.16","0.12","1.13","0.05","0.16","0.03","0.11"
"2012","Gullkarfi","Sebastes norvegicus","0.19","1.31","3.09","5.8","10","10","5.26","5.57","2.99","1.71","0.77","0.78","0.45","0.64","0.62","3.11","0.39","0.23","0.2","0.24","1.2","0.16","0.06","0.33"
"2013","Gullkarfi","Sebastes norvegicus","0.1","1.21","4.34","6.52","8.99","13","8.93","4.85","4.99","3.38","1.8","1.13","0.84","0.49","0.44","0.63","3.12","0.22","0.18","0.19","0.1","0.75","0.03","0.32"
"2014","Gullkarfi","Sebastes norvegicus","0.63","1.11","3.27","10","9.95","7.91","7.31","5.64","3.54","2.77","1.93","1.17","0.44","0.87","0.45","0.34","0.38","2.37","0.15","0.15","0.15","0.05","0.55","0.04"
"2015","Gullkarfi","Sebastes norvegicus","0.03","1.27","1.87","5.38","11","9.46","6.77","6.46","4.99","2.98","2.48","1.46","0.66","1.02","0.24","0.23","0.16","0.32","1.52","0.18","0.15","0.16","0.09","0.55"
"2016","Gullkarfi","Sebastes norvegicus","0.12","1.31","4.7","5.38","11","12","8","5.48","4.43","2.86","2.72","1.91","1.59","0.53","0.42","0.3","0.18","0.21","0.24","1.08","0.14","0.02","0.03","0.67"
"2017","Gullkarfi","Sebastes norvegicus","0","0.17","1.65","7.01","4.95","9.03","10","5.88","4.13","3.7","3.02","1.76","1.35","1.17","0.84","0.41","0.5","0.28","0.26","0.11","0.93","0.08","0.17","0.7"
"2018","Gullkarfi","Sebastes norvegicus","0","0.11","0.33","3.39","6.72","6.15","7.54","8.36","4.4","3.24","2.53","2.4","1.17","1.27","1.14","0.59","0.48","0.21","0.35","0.14","0.03","1.33","0.01","0.92"
"2019","Gullkarfi","Sebastes norvegicus","0.47","0.25","0.11","1.68","6.28","7.61","4.71","6.09","5.25","3.64","2.13","2.03","1.29","1.13","1.02","0.37","0.43","0.16","0.07","0.18","0.26","0.07","0.85","0.92"
"2020","Gullkarfi","Sebastes norvegicus","0","0.87","0.44","0.8","2.8","5.73","4.32","3.02","6.96","4.4","1.78","1.13","0.89","1.19","0.54","0.68","0.38","0.4","0.08","0.04","0.02","0.09","0.11","1.17"
"2021","Gullkarfi","Sebastes norvegicus","0.06","0.06","1.92","1.03","0.46","2.78","4.37","4.71","3.5","4.82","4.22","1.82","0.97","1.23","0.95","0.58","0.72","0.59","0.15","0.34","0.01","0.16","0.11","1.36"