"Year","species_name","latin_name","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"1996","Gullkarfi","Sebastes norvegicus","40","11","19","15","29","102","16","11","17","34","16","2.17","1.962","4.322","6.619","1.184","4.927","3.933","4.507","3.808","0.931","0.915","0.863","0.136","0.842"
"1997","Gullkarfi","Sebastes norvegicus","6.906","22","14","13","11","18","67","6.321","5.397","7.198","9.919","6.918","3.92","2.06","1.436","0.804","1.501","2.41","0.818","2.672","1.096","0.226","0.39","0.034","1.383"
"1998","Gullkarfi","Sebastes norvegicus","3.522","17","58","22","26","19","19","104","10","7.758","7.776","14","7.55","0.597","3.226","2.331","0.855","2.175","0.455","1.428","0.237","0.889","0.48","0.47","2.995"
"1999","Gullkarfi","Sebastes norvegicus","2.783","11","47","100","44","21","17","21","146","6.127","9.678","11","11","8.336","3.995","2.803","1.005","2.074","0.57","2.777","1.149","2.897","1.5","1.242","1.099"
"2000","Gullkarfi","Sebastes norvegicus","7.903","6.755","6.404","26","95","12","14","8.009","8.148","51","5.318","2.577","2.564","4.586","6.546","1.02","1.619","0.464","0.986","0.755","0.656","0.511","0.668","0.549","1.339"
"2001","Gullkarfi","Sebastes norvegicus","2.127","11","11","7.111","17","111","24","24","7.962","9.195","59","4.29","5.039","3.597","4.151","3.672","2.281","0.349","0.538","0.305","0.505","0.761","0.518","0.172","2.299"
"2002","Gullkarfi","Sebastes norvegicus","12","3.268","27","11","17","32","116","20","12","9.88","10","45","4.621","3.012","3.239","3.941","3.244","0.822","0.427","0.519","0.559","0.287","0.254","0.694","1.708"
"2003","Gullkarfi","Sebastes norvegicus","18","38","9.886","48","13","17","40","111","12","11","6.152","7.547","32","4.544","1.645","1.102","2.732","1.061","0.349","0.331","0.194","0.307","0.025","0.078","1.482"
"2004","Gullkarfi","Sebastes norvegicus","29","37","65","21","46","19","14","27","104","14","9.652","6.029","6.056","22","3.08","1.815","1.714","2.452","0.041","1.217","0.45","0.061","0.193","0.202","1.567"
"2005","Gullkarfi","Sebastes norvegicus","4.828","40","45","63","25","44","20","16","27","82","9.478","6.678","3.746","5.036","22","2.563","2.086","2.35","0.892","1.213","0.333","0.113","0.237","0.043","2.081"
"2006","Gullkarfi","Sebastes norvegicus","6.85","16","82","81","86","26","38","18","15","18","75","8.708","4.285","2.794","3.115","18","2.001","1.72","0.996","1.695","0.918","0.923","0.184","0.441","0.995"
"2007","Gullkarfi","Sebastes norvegicus","10","26","36","77","37","36","19","24","8.288","6.867","17","49","10","4.527","1.581","3.955","14","1.324","1.257","0.223","0.65","0.298","0.051","0.403","0.918"
"2008","Gullkarfi","Sebastes norvegicus","7.869","39","75","68","106","63","55","14","18","9.219","7.883","13","36","6.162","5.722","2.068","2.335","11","1.441","0.803","0.852","1.206","0.576","0.813","1.452"
"2009","Gullkarfi","Sebastes norvegicus","12","14","74","96","59","101","46","43","10","18","6.961","6.454","7.365","28","4.698","2.127","1.335","1.991","10","0.759","0.988","1.297","0.184","1.566","1.68"
"2010","Gullkarfi","Sebastes norvegicus","14","16","23","54","68","32","57","29","20","9.045","11","4.689","3.076","6.568","22","3.216","1.231","1.63","0.67","5.586","0.577","0.397","0.703","0.427","1.97"
"2012","Gullkarfi","Sebastes norvegicus","3.279","23","70","62","63","104","74","43","39","19","17","6.148","5.862","3.895","3.891","3.531","18","2.903","1.997","1.217","1.642","7.404","0.427","0.432","2.035"
"2013","Gullkarfi","Sebastes norvegicus","4.312","3.262","41","85","58","42","68","47","27","31","19","13","7.102","5.146","4.46","4.729","2.404","18","2.55","1.222","1.104","0.825","8.57","0.459","3.481"
"2014","Gullkarfi","Sebastes norvegicus","1.757","13","25","97","152","91","70","68","50","27","27","17","12","6.016","5.904","4.865","3.597","3.379","13","1.462","0.933","0.872","0.484","3.284","2.602"
"2015","Gullkarfi","Sebastes norvegicus","1.229","7.579","28","33","86","101","53","48","42","40","21","20","10","9.976","9.914","3.36","2.477","2.158","1.134","13","1.522","1.438","1.57","1.002","6.842"
"2016","Gullkarfi","Sebastes norvegicus","0.784","3.961","29","64","48","87","97","54","45","36","32","20","22","16","8.962","2.991","3.955","3.718","2.826","3.406","15","1.038","1.006","0.944","6.716"
"2017","Gullkarfi","Sebastes norvegicus","1.248","1.745","10","38","94","57","96","88","42","27","29","36","18","15","17","12","4.836","6.146","4.761","2.866","2.633","14","1.685","1.825","7.88"
"2018","Gullkarfi","Sebastes norvegicus","2.989","2.469","1.972","5.902","37","72","58","66","55","27","20","22","21","13","11","6.262","10","6.87","2.733","2.729","2.859","2.592","11","1.492","7.341"
"2019","Gullkarfi","Sebastes norvegicus","0.863","15","7.819","7.371","20","47","91","59","63","45","36","19","22","22","14","15","12","7.178","3.746","1.302","1.99","1.262","1.689","10","5.289"
"2020","Gullkarfi","Sebastes norvegicus","0.815","0.666","11","3.933","7.42","18","41","39","24","39","26","11","12","12","11","6.937","4.614","4.058","3.33","2.497","1.819","1.869","0.751","1.34","9.624"